repoId,repo,sourceType,domain,method,coverageCategory,normalizedPath,path,handler,request,response,evidenceFile,evidenceLine
backend,reabam-mop-b2b,backend-controller,product-skc-sku,POST,backend-and-frontend,/activity/liveChannelsSkcs/explain/product/switch,/activity/liveChannelsSkcs/explain/product/switch,LiveChannelsSkcsController.productExplainSwitchNew,LiveExplainProductReq req,Response<Void>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,118
backend,reabam-mop-b2b,backend-controller,product-skc-sku,POST,backend-only,/activity/liveChannelsSkcs/explain/switch,/activity/liveChannelsSkcs/explain/switch,LiveChannelsSkcsController.productExplainSwitch,LiveSkcExplainReq req,Response<Void>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,66
backend,reabam-mop-b2b,backend-controller,report-export,POST,backend-only,/activity/liveChannelsSkcs/getLiveSkcCargoListExport,/activity/liveChannelsSkcs/getLiveSkcCargoListExport,LiveChannelsSkcsController.getLiveSkcCargoListExport,LiveItemExportReq liveItemExportReq,Response<RespPage<LiveSkcGoodsPageExportResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,110
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-and-frontend,/activity/liveChannelsSkcs/getMoreSkcAddCartInfo,/activity/liveChannelsSkcs/getMoreSkcAddCartInfo,LiveChannelsSkcsController.getMoreSkcAddCartInfo,LiveChannelsMoreSkcAddCartInfoReq req,Response<LiveChannelsMoreSkcAddCartInfoResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,143
backend,reabam-mop-b2b,backend-controller,product-skc-sku,POST,backend-and-frontend,/activity/liveChannelsSkcs/getMoreSkcInfo,/activity/liveChannelsSkcs/getMoreSkcInfo,LiveChannelsSkcsController.getMoreSkcInfo,LiveChannelsMoreSkcInfoReq req,Response<LiveChannelsMoreSkcInfoResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,135
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-and-frontend,/activity/liveChannelsSkcs/getSkcAddCartInfo,/activity/liveChannelsSkcs/getSkcAddCartInfo,LiveChannelsSkcsController.getSkcAddCartInfo,LiveChannelsSkcAddCartInfoReq req,Response<LiveChannelsSkcAddCartInfoResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,101
backend,reabam-mop-b2b,backend-controller,product-skc-sku,POST,backend-and-frontend,/activity/liveChannelsSkcs/getSkcInfo,/activity/liveChannelsSkcs/getSkcInfo,LiveChannelsSkcsController.getSkcInfo,LiveChannelsSkcInfoReq req,Response<LiveChannelsSkcInfoResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,93
backend,reabam-mop-b2b,backend-controller,product-skc-sku,POST,backend-and-frontend,/activity/liveChannelsSkcs/page,/activity/liveChannelsSkcs/page,LiveChannelsSkcsController.page,LiveSkcPageReq req,Response<RespPage<LiveSkcPageResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,49
backend,reabam-mop-b2b,backend-controller,report-export,POST,backend-only,/activity/liveChannelsSkcs/pageExport,/activity/liveChannelsSkcs/pageExport,LiveChannelsSkcsController.pageLiveSkcExport,LiveSkcPageExportReq req,Response<RespPage<LiveSkcPageExportResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,57
backend,reabam-mop-b2b,backend-controller,product-skc-sku,POST,backend-and-frontend,/activity/liveChannelsSkcs/show/switch,/activity/liveChannelsSkcs/show/switch,LiveChannelsSkcsController.productShowSwitch,LiveSkcShowSwitchReq req,Response<Void>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkcsController.java,84
backend,reabam-mop-b2b,backend-controller,product-skc-sku,GET,backend-only,/activity/liveChannelsSkus/detailById,/activity/liveChannelsSkus/detailById,LiveChannelsSkusController.detailById,Long id,Response<LiveChannelsSkusVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkusController.java,36
backend,reabam-mop-b2b,backend-controller,report-export,POST,backend-only,/activity/liveChannelsSkus/getLiveSkuCargoListExport,/activity/liveChannelsSkus/getLiveSkuCargoListExport,LiveChannelsSkusController.getLiveSkuCargoListExport,LiveItemExportReq liveItemExportReq,Response<RespPage<LiveSkuGoodsPageExportResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSkusController.java,45
backend,reabam-mop-b2b,backend-controller,other,GET,backend-and-frontend,/activity/liveChannelsSpus/channel/detail,/activity/liveChannelsSpus/channel/detail,LiveChannelsSpusController.detail,"String itemId, String channelId, String companyId",Response<LiveChannelDetailVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSpusController.java,44
backend,reabam-mop-b2b,backend-controller,other,GET,backend-only,/activity/liveChannelsSpus/detailById,/activity/liveChannelsSpus/detailById,LiveChannelsSpusController.detailById,Long id,Response<LiveChannelsSpusVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsSpusController.java,32
backend,reabam-mop-b2b,backend-controller,other,GET,backend-only,/activity/liveChannelsThirdRel/{id},/activity/liveChannelsThirdRel/{id},LiveChannelsThirdRelController.queryById,Long id,Response<LiveChannelsThirdRel>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsThirdRelController.java,31
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-only,/activity/liveShopCart/batchRecountShopCartById,/activity/liveShopCart/batchRecountShopCartById,LiveShopCartController.batchRecountShopCartById,List<Long> shopCartIds,Response<Boolean>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,226
backend,reabam-mop-b2b,backend-controller,cart,GET,backend-and-frontend,/activity/liveShopCart/checkCompanySubmitOrderQty,/activity/liveShopCart/checkCompanySubmitOrderQty,LiveShopCartController.checkCompanySubmitOrderQty,"String companyId, String channelId",Response<String>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,282
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-and-frontend,/activity/liveShopCart/companyCart/company/page,/activity/liveShopCart/companyCart/company/page,LiveShopCartController.companyCartPage,LiveShopCartCompanyPageReq req,Response<RespPage<LiveShopCartCompanyPageResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,239
backend,reabam-mop-b2b,backend-controller,cart,GET,backend-and-frontend,/activity/liveShopCart/current,/activity/liveShopCart/current,LiveShopCartController.current,"String companyId, String channelId",Response<CurrentShopCartVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,216
backend,reabam-mop-b2b,backend-controller,cart,GET,backend-only,/activity/liveShopCart/detailById,/activity/liveShopCart/detailById,LiveShopCartController.detailById,Long id,Response<LiveShopCartVO>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,72
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-and-frontend,/activity/liveShopCart/live/activity/page,/activity/liveShopCart/live/activity/page,LiveShopCartController.liveActivityPage,LiveShopCartActivityPageReq req,Response<RespPage<LiveShopCartActivityPageResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,186
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-only,/activity/liveShopCart/live/cart/sku/export,/activity/liveShopCart/live/cart/sku/export,LiveShopCartController.cartSkuExport,CartSkuExportReq req,Response<RespPage<CartSkuExportResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,152
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-and-frontend,/activity/liveShopCart/live/channel/page,/activity/liveShopCart/live/channel/page,LiveShopCartController.liveChannelPage,LiveShopCartChannelPageReq req,Response<RespPage<LiveShopCartChannelPageResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,195
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-and-frontend,/activity/liveShopCart/live/detail/page,/activity/liveShopCart/live/detail/page,LiveShopCartController.liveDetailPage,LiveShopCartDetailPageReq req,Response<RespPage<LiveShopCartDetailPageResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,128
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-only,/activity/liveShopCart/live/detail/page/export,/activity/liveShopCart/live/detail/page/export,LiveShopCartController.liveDetailPageExport,LiveShopCartExportReq req,Response<RespPage<LiveShopCartDetailExportResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,136
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-and-frontend,/activity/liveShopCart/live/gather,/activity/liveShopCart/live/gather,LiveShopCartController.liveGather,LiveShopCartPageReq req,Response<LiveShopCartGatherResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,112
backend,reabam-mop-b2b,backend-controller,cart,POST,backend-and-frontend,/activity/liveShopCart/live/page,/activity/liveShopCart/live/page,LiveShopCartController.livePage,LiveShopCartPageReq req,Response<RespPage<LiveShopCartPageResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveShopCartController.java,80
