normalizedPath,domains,repos,methods,occurrences,coverageCategory,evidence
/product/inventory/source/order/list,stock,backend,POST,4,backend-only,reabam-mop-b2b/reabam-service/reabam-b2b/src/main/java/com/reabam/b2b/feign/ProductFeignClient.java:39 | reabam-mop-b2b/reabam-service/reabam-config/src/main/java/com/reabam/product/feign/ProductFeignClient.java:44 | reabam-mop-b2b/reabam-service/reabam-file/src/main/java/com/reabam/importing/feign/ProductsFeignHystrixClient.java:39 | reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:472
/product/inventory/stock/exceladd,stock,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:416 | semir-reabam-admin/src/js/api.js:2332
/product/inventory/unit/exceladd,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:397
/product/inventory/upload,stock,backend|admin-v1,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:115 | semir-reabam-admin/src/js/api.js:2308 | semir-reabam-admin/src/js/api2.js:1698
/product/inventory/upload2,stock,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/InventoryController.java:252
/product/item/attributesdetaill,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2458 | semir-reabam-admin/src/js/api.js:1529
/product/item/attributesList,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/product/controller/ProductsController.java:2545 | semir-reabam-admin/src/js/api.js:1561
/product/item/brandItems/count,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:144 | semir-reabam-admin/src/pages/product/service.js:33
/product/item/brandItems/getBrandList,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:108 | semir-reabam-admin/src/service/common.js:49
/product/item/brandItems/page,product-skc-sku,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:117 | semir-reabam-admin/src/pages/product/service.js:12
/product/item/brandItems/sku,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:135
/product/item/brandItems/spu,product-skc-sku,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-product/src/main/java/com/reabam/controller/MitemController.java:126
